geoid,Excess Housing Costs,Married Couple HH,Single Male HH,Single Female HH,Poverty,With Insurance,Without Insurance,Edu <9th Grade,"Education 9th to 12th Grade, No Diploma (2020-2024)",Edu High School,Edu Some College,Edu Associate,Edu Bachelors,Edu Graduate,Lead Paint EJI,Drinking Water NC,Drinking Water EJI,MH Providers Male,MH Providers Female,MH Providers Total,Total HC Workers,MH Provider Ratio,Poor Mental Health %,City,pop_proxy,weight_norm,poverty_rate,housing_cost_rate,grad_edu_rate,married_hh_rate,single_female_hh_rate,uninsured_rate
3900731,568.6357,1513.8903,130.1571,201.1353,815.3992,7147.9127,289.291,105.7863,154.408,1532.4708,885.9213,542.8585,822.4699,486.647,36.0034,0.9411,51.8587,0,4,4,216,1867.73,17.4177,Columbus,7437.2037,0.002929144221638927,0.10962313387572324,0.07644798703213788,0.06542533918505082,0.20352901870649226,0.027040843207883646,0.038892589080344764
3900729,994.6803,1180.9351,161.8192,416.1338,792.0373,6116.3389,435.4359,108.8705,220.4932,2002.5866,1126.1448,413.2574,392.5177,277.2791,50.4171,0.9872,76.8592,1,0,1,131,6640.27,18.4535,Columbus,6551.7748,0.002580417865507642,0.12087052037863409,0.15179528220624947,0.04231476106885285,0.18021908825555852,0.0635049750221845,0.06645061264733224
3900726,904.3151,864.3681,176.1148,486.5696,1434.2406,5128.7812,842.3189,126.3489,343.0876,1911.5678,965.7902,334.4867,610.9788,254.7362,97.9342,1.0035,94.5257,26,51,77,564,82.29,19.6966,Columbus,5971.100100000001,0.0023517190143309673,0.24015682523472773,0.15142329915066224,0.04265437546835492,0.1447343623727941,0.08147378507604049,0.14104232780693007
3900730,805.2984,1201.0457,127.407,310.116,690.6954,5697.6626,401.3817,36.02,157.2306,1410.1735,1130.5352,395.6746,767.7406,454.3064,87.8512,1.0,74.3685,14,38,52,291,118.5,18.7911,Columbus,6099.0443,0.0024021098640695875,0.11322793180370838,0.13201517241440364,0.07447591815029934,0.19689130782214156,0.05083831932171378,0.06579980083095463
3900727,932.305,1342.4287,100.1147,311.5273,446.9458,6389.7817,499.599,50.1549,277.4337,1767.7739,1086.6708,363.0436,923.9841,705.0299,47.5454,1.0,66.085,16,75,91,523,78.14,17.0829,Columbus,6889.3807,0.0027133840193291664,0.06486518226779546,0.13530529597588128,0.10232089208075253,0.19482649195275958,0.045211914052876646,0.07250673391674861
3903814,1206.4428,2341.5217,296.8177,630.4953,860.2653,10867.2876,984.0563,89.5902,367.4133,1969.8184,1288.0001,713.9767,2318.7581,1434.6571,26.9763,0.0,0.0,6,12,18,260,669.16,15.1624,Columbus,11851.3439,0.004667654256039907,0.07258187133770225,0.10178938530462317,0.12104416747475577,0.19755769152125258,0.05319583242939821,0.083026303345788
3903812,983.5776,2001.6519,88.4684,414.6698,884.6412,8752.4225,497.4651,140.7375,174.5063,1740.3104,1348.44,302.2717,1744.182,703.8242,22.8477,0.0,0.0,0,2,2,210,4624.94,16.5133,Columbus,9249.8876,0.0036430701520720164,0.09562771036154412,0.1063225111501733,0.07608180213972117,0.21637403744912004,0.04482486631877356,0.053774850750537714
3903811,838.0017,2072.9722,356.6544,303.2582,785.7135,9088.379,816.9647,24.6191,110.0649,1795.3273,1335.0193,472.3052,2003.7384,1277.7485,56.779,0.0005,3.6191,13,37,50,305,201.42,17.0417,Columbus,9905.343700000001,0.003901221673167639,0.0793141772377633,0.08459243141341845,0.1289828557028563,0.20925704404946094,0.03061252558802295,0.08246884266694683
3900821,1242.3127,2034.5129,340.286,563.4286,1131.0643,10219.9475,385.427,150.5693,447.2672,2071.2043,1599.15,761.5339,1770.2125,799.9608,17.5321,0.0,0.0,1,13,14,375,761.09,16.8692,Columbus,10605.3745,0.004176928949114548,0.10664004934013975,0.1171288737730315,0.07542264324157137,0.19181982495526628,0.053121695825467975,0.03633918451587769
3900823,1282.3068,2553.9624,142.9081,471.1486,800.3406,10455.0181,791.0223,339.9133,319.0746,2252.8964,1591.389,751.0814,2023.2176,801.6845,41.4669,0.0,0.0,0,7,7,149,1610.04,18.297,Columbus,11246.0404,0.004429255346868868,0.07116010715138892,0.11401282065280037,0.07127959636385764,0.22707861883380448,0.041890896026300396,0.07033159585698652
